year,usEnglish,Chinese,Hebrew,Russian,Spanish
1800,2386,116,37,271,2461
1810,3645,122,47,448,1731
1820,6487,149,65,717,2969
1830,12703,141,147,1348,3181
1840,17196,165,206,1714,4739
1850,27213,77,432,2812,6317
1860,23436,201,660,4415,8819
1870,29360,411,645,4525,5810
1880,47569,353,733,6062,7349
1890,74324,292,1127,9027,8415
1900,105281,238,1113,12078,11598
1910,124240,122,596,9140,13881
1920,100779,469,1271,12742,16931
1930,88198,1169,1559,15661,24721
1940,90115,626,2265,13843,38383
1950,120930,9428,3936,41680,45069
1960,227983,8500,10477,95829,74681
1970,292282,18446,8374,93644,102142
1980,333923,82249,8179,101235,120530
1990,521179,84118,13050,85203,155703
2000,1082897,94933,15459,78412,189831
